order_year_month,total_revenue,total_orders
2016-09,0.0,1
2016-10,61746.94,265
2016-12,19.62,1
2017-01,176491.49,750
2017-02,325782.66,1653
2017-03,505735.83,2546
2017-04,456108.32,2303
2017-05,701313.6,3546
2017-06,585400.98,3135
2017-07,716069.98,3872
2017-08,842689.94,4193
2017-09,996279.59,4150
2017-10,998609.62,4478
2017-11,1548682.69,7289
2017-12,1020067.26,5513
2018-01,1374064.02,7069
2018-02,1279970.45,6555
2018-03,1435458.33,7003
2018-04,1466607.15,6798
2018-05,1480667.59,6749
2018-06,1285926.11,6099
2018-07,1307228.18,6159
2018-08,1211240.09,6351
