person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,actual_loan_status,predicted_loan_status,default_probability,credit_risk_segment
22,50000,RENT,6.0,PERSONAL,B,6000,11.89,0.12,N,2,0,0,0.08844984804456994,Low Risk
32,52000,RENT,0.0,PERSONAL,A,7125,7.49,0.14,N,10,0,0,0.04683924148158989,Low Risk
37,205000,MORTGAGE,3.0,EDUCATION,B,18000,10.39,0.09,N,14,0,0,0.03736656341035149,Low Risk
26,100000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,24000,10.99,0.24,N,4,0,0,0.08878646735352319,Low Risk
23,44340,OWN,0.0,VENTURE,C,3000,12.98,0.07,Y,3,0,0,0.017798878216306956,Low Risk
24,30000,RENT,1.0,PERSONAL,B,3000,10.37,0.1,N,2,0,0,0.14170584264244646,Low Risk
26,115000,MORTGAGE,3.0,EDUCATION,C,20000,13.16,0.17,Y,2,0,0,0.05424898123488302,Low Risk
21,66000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,7.88,0.11,N,2,0,0,0.043324603385397016,Low Risk
28,26000,OWN,3.0,HOMEIMPROVEMENT,A,2500,7.49,0.1,N,8,0,0,0.0552991226961322,Low Risk
33,54000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,32000,15.23,0.59,N,7,1,0,0.4131488513422606,Medium Risk
31,102000,MORTGAGE,5.0,EDUCATION,A,4000,7.88,0.04,N,10,0,0,0.024453899947654522,Low Risk
41,75000,RENT,15.0,PERSONAL,D,4000,16.29,0.05,Y,12,0,0,0.4292287892523315,Medium Risk
30,110000,RENT,8.0,HOMEIMPROVEMENT,B,12000,12.18,0.11,N,7,0,0,0.05217906185722226,Low Risk
28,75000,RENT,3.0,EDUCATION,B,23000,10.51,0.31,N,9,1,1,0.9599438319946904,High Risk
23,49161,RENT,1.0,HOMEIMPROVEMENT,D,8000,13.17,0.16,Y,4,1,1,0.812279408662882,High Risk
37,175000,RENT,2.0,HOMEIMPROVEMENT,B,15000,9.76,0.09,N,17,0,0,0.04996014901173538,Low Risk
26,52000,RENT,6.0,DEBTCONSOLIDATION,C,2500,14.82,0.05,Y,2,0,0,0.20053442887569292,Low Risk
28,61000,MORTGAGE,12.0,PERSONAL,B,12000,9.99,0.2,N,5,0,0,0.06053374352638348,Low Risk
23,35000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,12000,12.42,0.34,N,2,0,0,0.17174543967405245,Low Risk
25,48000,MORTGAGE,8.0,PERSONAL,A,2250,8.49,0.05,N,3,1,0,0.05084499629648641,Low Risk
27,160000,RENT,3.0,EDUCATION,E,10000,16.32,0.06,Y,9,0,0,0.2682411693045561,Low Risk
32,59363,RENT,2.0,MEDICAL,C,6000,13.22,0.1,Y,6,0,0,0.22005065959826564,Low Risk
78,48000,RENT,41.0,MEDICAL,A,3000,7.51,0.06,N,25,0,0,0.2304744385401684,Low Risk
45,123000,RENT,2.0,EDUCATION,F,14000,10.99,0.11,N,17,1,0,0.31945479710602004,Medium Risk
28,42000,RENT,9.0,MEDICAL,D,12250,14.59,0.29,N,10,1,1,0.7480457900763902,High Risk
30,26000,RENT,3.0,EDUCATION,B,9250,10.99,0.36,N,5,1,1,0.9662037547594302,High Risk
47,50000,MORTGAGE,3.0,VENTURE,C,4000,10.99,0.08,Y,17,0,0,0.08587137297693827,Low Risk
26,48000,RENT,1.0,EDUCATION,E,15000,18.64,0.31,N,3,1,1,0.9894575979168991,High Risk
27,90000,RENT,11.0,PERSONAL,B,15600,12.69,0.17,N,9,0,0,0.04404411995189084,Low Risk
38,78000,MORTGAGE,8.0,VENTURE,A,6250,6.76,0.08,N,16,0,0,0.016549692619087848,Low Risk
22,40000,RENT,7.0,EDUCATION,B,10000,10.37,0.25,N,2,0,0,0.06134138037284152,Low Risk
27,44004,RENT,0.0,PERSONAL,C,5000,13.79,0.11,N,8,1,0,0.11133980058538857,Low Risk
43,65000,RENT,2.0,MEDICAL,B,5000,9.62,0.08,N,16,0,0,0.07481940042445867,Low Risk
32,135000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,16000,10.99,0.12,N,10,0,0,0.06840914228122097,Low Risk
33,85000,RENT,11.0,EDUCATION,A,5000,7.9,0.06,N,8,0,0,0.031587405194379456,Low Risk
24,120000,RENT,4.0,HOMEIMPROVEMENT,C,10000,13.61,0.08,Y,4,0,0,0.0583456517400334,Low Risk
