Dept,actual_total_sales,predicted_total_sales,avg_absolute_error,sales_gap
38,59169893.53,59644881.65046354,5418.333969010189,-474988.1204635352
72,39260487.53,38803591.741476566,4584.28374513589,456895.7885234356
92,77140148.65,76716337.85607678,4546.374497446824,423810.793923229
3,15417358.16,14784464.618777556,4459.810319833385,632893.5412224438
95,72660033.99,73386848.64940485,3982.849916323782,-726814.659404859
65,1060368.56,1072109.7312947419,3369.044704301457,-11741.171294741798
11,15239720.64,15168673.180362243,3330.0619571752786,71047.45963775739
9,23369918.17,23815364.63105682,3151.3219880663546,-445446.4610568173
16,15129429.95,16965631.238162655,2977.0986151804177,-1836201.2881626561
7,20773364.16,21040861.43381287,2692.2492346965137,-267497.2738128714
93,25926789.38,26103083.455519,2605.684943190098,-176294.07551899925
23,21565885.81,21750625.614949543,2512.607084276182,-184739.80494954437
91,33515409.42,33649702.363955475,2286.891123190622,-134292.9439554736
5,16060522.63,15808897.761264157,2279.1247462159326,251624.86873584427
2,44055145.52,44364038.04329192,2199.9715608000206,-308892.52329191566
90,45357495.89,45160684.45592916,2067.614006905736,196811.43407084048
40,44817127.55,44934430.92662007,1859.07196197744,-117303.3766200766
79,21533147.32,21756207.32295007,1812.2562019339607,-223060.00295006856
34,12980559.78,13451013.344232066,1735.3668897630457,-470453.5642320663
94,30204389.59,30716667.960797366,1729.1712674181936,-512278.3707973659
58,2833519.46,2784540.6052077776,1700.7847962706658,48978.85479222238
87,15542876.74,15585827.197475228,1690.0934421077302,-42950.457475228235
13,31026459.77,31174497.124117397,1600.4123821023813,-148037.35411739722
4,26575203.68,26855423.70966479,1508.6239577162369,-280220.0296647921
96,12843879.1,13087339.323886642,1419.1902000539346,-243460.2238866426
10,18980380.19,19205451.736183878,1416.288776136844,-225071.5461838767
24,5450708.62,5430466.055104173,1389.0012123156187,20242.564895827323
74,13705245.71,13858830.356028456,1379.4732516262945,-153584.64602845535
46,19884883.37,20458295.31467278,1281.2267850061853,-573411.9446727782
1,16157773.94,15973171.950629491,1266.5140549301102,184601.98937050812
18,2600230.4899999998,1897231.3654887923,1229.0061693558794,702999.1245112075
14,13433721.97,13653644.297522401,1204.5633231185727,-219922.32752240077
97,14374882.04,14564687.563475937,1185.4854459199873,-189805.52347593755
33,5446463.35,5438184.218542653,1170.5365519361235,8279.131457346492
8,30272435.21,30287889.27985194,1139.2148814594348,-15454.069851938635
48,583716.98,579297.2126257514,1083.6425727895955,4419.767374248593
82,15453688.3,15595870.118665013,1067.3950233419337,-142181.81866501272
22,8937524.03,8968785.087090697,1043.7860424452674,-31261.05709069781
49,5585716.71,5627735.646975493,1038.9158792722767,-42018.936975493096
56,2553223.92,3198422.081649125,964.3612009573693,-645198.1616491252
55,5940262.16,5955719.280285206,937.0341762270534,-15457.120285205543
67,6648658.52,6868837.447018737,898.7898843911171,-220178.92701873742
71,4408222.74,4507530.206092978,886.0141630577883,-99307.46609297767
25,8514591.09,8698182.776655883,873.5106208344492,-183591.68665588275
17,9352442.17,9404071.568816075,860.5133346025119,-51629.398816075176
81,15650784.03,15912135.666092347,838.3781369814104,-261351.63609234802
6,3127128.35,3315419.5731146317,834.6511053477461,-188291.2231146316
26,6179035.89,6169947.17583803,815.5983479450292,9088.714161969721
32,5347911.29,5563297.32946442,715.6518265546193,-215386.0394644197
20,5315542.23,5487442.603958675,675.8290338311123,-171900.37395867426
80,11143161.17,11306120.404113958,644.8502308701836,-162959.23411395773
36,1595765.85,1759833.842365917,633.3920152593422,-164067.99236591696
31,2354971.22,2381644.157387078,578.481297039391,-26672.937387077603
98,5795327.28,5846525.828077114,494.8689626617897,-51198.54807711393
50,646819.8,665983.2054786275,492.10292911928127,-19163.40547862742
29,4366329.28,4429353.044822173,484.6579012284905,-63023.76482217293
35,2218347.61,2394406.6545830504,467.42975466867995,-176059.04458305053
30,3202857.17,3354111.375859741,459.4365669133647,-151254.2058597412
42,5378866.75,5477822.8597551035,444.53286411395834,-98956.10975510348
83,2916580.87,3004580.5881676567,438.82549663844264,-87999.71816765657
41,1745929.49,1738654.5181531052,436.7855184146479,7274.971846894827
44,3898960.49,3876857.7897084067,430.9510755052914,22102.70029159356
12,4423569.7,4561858.727811909,408.12820131358126,-138289.0278119091
77,-175.0,213.1582898579757,388.15828985797566,-388.15828985797566
85,1871541.49,1967573.7274245727,327.37385016515606,-96032.2374245727
21,4441700.08,4517922.216549617,326.5271982374404,-76222.13654961716
99,28129.7,111468.81149514395,312.0839239579044,-83339.11149514395
37,1199740.95,1221998.528750192,292.37103185655684,-22257.578750191955
19,1010640.91,1030484.4802692109,271.7386175344319,-19843.570269210846
52,1628940.25,1699199.0817914247,264.022973533064,-70258.83179142466
47,1218.8,10449.778307063447,211.94829397918863,-9230.978307063448
27,1208874.13,1210107.051221059,187.04621476962384,-1232.9212210590485
28,424618.69,422781.36826461955,88.15931726921954,1837.3217353804503
60,309980.51,331181.20434580755,72.52887504566677,-21200.69434580754
59,175173.23,197731.980362798,57.61903705230707,-22558.75036279799
51,137.0,1761.1340202819727,32.48268040563946,-1624.1340202819727
78,12.0,171.44035475566855,31.88807095113371,-159.44035475566855
54,21587.47,29651.407070188445,31.050923007954058,-8063.937070188444
45,3368.26,5182.5188380196205,25.729954487095824,-1814.2588380196203
39,28.31,34.28807095113371,5.978070951133713,-5.978070951133713
