Store,actual_total_sales,predicted_total_sales,avg_absolute_error,sales_gap
14,37116269.71,37862277.620441705,2605.3864272969276,-746007.9104417041
20,45988694.58,46081301.33361894,2435.960458322242,-92606.75361894071
27,38002367.14,38337075.09593798,2206.2385152960755,-334707.9559379816
23,31791296.76,32063162.720671758,2181.710725479499,-271865.9606717564
28,27332400.94,27441160.461505033,2178.863596744908,-108759.52150503173
4,47370986.89,47551563.04675747,2054.432091709257,-180576.1567574665
13,45017592.4,45157546.85129912,2050.135214227888,-139954.45129912347
10,38871644.97,39147292.13991021,1975.8795444811963,-275647.16991021484
2,41536882.28,41767171.65769019,1930.4083376015753,-230289.3776901886
19,30736613.55,31047805.887738675,1910.802323344726,-311192.33773867413
24,30473932.39,30751428.522563264,1871.1458082954657,-277496.1325632632
1,34520117.91,34871126.05859438,1867.2184624247136,-351008.1485943869
6,34300342.84,34719876.27578474,1797.704456268062,-419533.4357847348
39,34807039.94,34888777.08592689,1792.4590353156034,-81737.14592689276
11,29530173.48,29825739.9532032,1658.286508222451,-295566.47320320085
18,23295855.72,23343347.528847508,1603.2643284611158,-47491.808847509325
17,21087435.4,21172887.4207893,1598.3218347900179,-85452.02078930289
41,30484148.29,30725071.463159278,1530.1740612259864,-240923.17315927893
22,22323048.49,22387384.91522684,1509.9541870903233,-64336.42522684112
35,19214169.12,19200639.763880245,1471.0318558861716,13529.356119755656
40,21881384.1,22087083.415006287,1406.4172280220089,-205699.3150062859
31,30312229.44,30610519.542576905,1404.276128396292,-298290.102576904
26,23008785.11,23212775.198107988,1395.36590790954,-203990.08810798824
12,21398314.080000002,21646208.888579194,1311.9903356421255,-247894.80857919157
32,26208988.54,26392438.928654782,1253.2282069804228,-183450.38865478337
8,19989529.67,20154621.8221545,1216.8695025583531,-165092.1521544978
34,21226185.07,21521333.06575295,1060.3361528354565,-295147.99575294927
45,16577304.51,16812939.02105016,1060.0530244713364,-235634.5110501591
7,13584130.87,13706700.886240616,1038.3975199205045,-122570.01624061726
42,12376987.33,12477639.865800139,1032.0860396411476,-100652.53580013849
21,15231518.9,15461304.15837254,1025.1292463600325,-229785.25837253965
15,13074760.45,13338920.775986858,1005.35005700962,-264160.32598685846
25,15499878.65,15780142.823612494,999.6321017265882,-280264.173612494
16,11995434.47,12071406.876641639,991.2478500325095,-75972.4066416379
29,11577922.87,11720369.27325369,979.8627382446724,-142446.40325369127
9,12116834.540000001,12296090.130620698,942.059521452784,-179255.59062069654
43,13563392.2,13680919.561983204,857.5311188863537,-117527.36198320426
3,9145456.69,9267087.68231596,724.3355311370537,-121630.99231596105
38,9471814.94,9555465.40519504,677.7040261662027,-83650.46519504115
5,7148749.42,7289125.830723725,550.1429170112249,-140376.41072372533
33,5842612.53,5946148.053414677,530.0328938695606,-103535.52341467701
36,6544280.87,6706359.290107899,529.9572593825153,-162078.42010789923
37,11444343.24,11548553.467014689,496.9478258078276,-104210.22701468877
30,9507520.19,9619141.244657896,418.9535986570712,-111621.05465789698
44,7447940.26,7512024.012930975,415.7405918049696,-64083.75293097552
