Store,Dept,Date,Weekly_Sales,predicted_sales,prediction_error,absolute_error
1,1,2012-06-01,16065.49,17902.26756762939,-1836.7775676293913,1836.7775676293913
1,1,2012-06-08,17666.0,16854.92477994437,811.0752200556308,811.0752200556308
1,1,2012-06-15,17558.82,17698.109543912244,-139.28954391224397,139.28954391224397
1,1,2012-06-22,16633.41,17698.109543912244,-1064.6995439122438,1064.6995439122438
1,1,2012-06-29,15722.82,17049.99681314536,-1327.176813145361,1327.176813145361
1,1,2012-07-06,17823.37,16430.743647379826,1392.6263526201728,1392.6263526201728
1,1,2012-07-13,16566.18,17959.335083276954,-1393.1550832769535,1393.1550832769535
1,1,2012-07-20,16348.06,16897.672015523116,-549.6120155231165,549.6120155231165
1,1,2012-07-27,15731.18,16833.776253253072,-1102.596253253072,1102.596253253072
1,1,2012-08-03,16628.31,16402.691108689432,225.61889131056887,225.61889131056887
1,1,2012-08-10,16119.92,16800.266762544623,-680.3467625446228,680.3467625446228
1,1,2012-08-17,17330.7,16490.152211638666,840.5477883613348,840.5477883613348
1,1,2012-08-24,16286.4,17342.815908336295,-1056.4159083362956,1056.4159083362956
1,1,2012-08-31,16680.24,16833.776253253072,-153.53625325307075,153.53625325307075
1,1,2012-09-07,18322.37,16857.357824052226,1465.0121759477734,1465.0121759477734
1,1,2012-09-14,19616.22,18318.706098603066,1297.5139013969347,1297.5139013969347
1,1,2012-09-21,19251.5,20015.248662421804,-763.7486624218036,763.7486624218036
1,1,2012-09-28,18947.81,19964.774845531796,-1016.9648455317947,1016.9648455317947
1,1,2012-10-05,21904.47,19859.239462928264,2045.2305370717368,2045.2305370717368
1,1,2012-10-12,22764.01,23143.416565270047,-379.4065652700483,379.4065652700483
1,1,2012-10-19,24185.27,25048.538326913218,-863.2683269132176,863.2683269132176
1,1,2012-10-26,27390.81,25548.21638829082,1842.5936117091805,1842.5936117091805
1,2,2012-06-01,47425.29,47809.45424233482,-384.16424233481666,384.16424233481666
1,2,2012-06-08,49439.58,46644.09509985124,2795.48490014876,2795.48490014876
1,2,2012-06-15,46637.48,47634.21290142566,-996.7329014256538,996.7329014256538
1,2,2012-06-22,46075.0,47316.47573043716,-1241.4757304371597,1241.4757304371597
1,2,2012-06-29,47629.14,47298.967839661025,330.1721603389742,330.1721603389742
1,2,2012-07-06,49771.92,47380.987372588614,2390.9326274113846,2390.9326274113846
1,2,2012-07-13,44411.95,47745.7246327113,-3333.7746327113055,3333.7746327113055
1,2,2012-07-20,45108.22,46137.152037661064,-1028.932037661063,1028.932037661063
1,2,2012-07-27,45008.22,46793.21450121227,-1784.9945012122698,1784.9945012122698
1,2,2012-08-03,49424.06,46586.74076516999,2837.319234830007,2837.319234830007
