role,category,source_file,match_score,text_similarity,skill_match_rate,matched_skill_count,missing_skill_count,match_category,matched_skills,missing_skills
Customer Service Officer,Customer Service,non_it_jobs.txt,60.53,1.33,100.0,3,0,Moderate Match,"communication, documentation, problem solving",
Data Scientist,IT & Data,it_jobs.txt,52.73,9.96,81.25,13,3,Moderate Match,"classification, clustering, data visualization, exploratory data analysis, feature engineering, forecasting, machine learning, model evaluation, numpy, pandas, regression, scikit-learn, sql","a/b testing, nlp, statistics"
Data Analyst,IT & Data,it_jobs.txt,45.72,5.22,72.73,8,3,Moderate Match,"business intelligence, data cleaning, data visualization, exploratory data analysis, power bi, python, statistical analysis, tableau","excel, reporting, sales"
Management Trainee,Business,non_it_jobs.txt,38.64,2.84,62.5,5,3,Low Match,"adaptability, analytical thinking, communication, problem solving, teamwork","business understanding, microsoft office, process improvement"
Business Intelligence Analyst,IT & Data,it_jobs.txt,38.21,1.78,62.5,5,3,Low Match,"business intelligence, data cleaning, data visualization, power bi, tableau","business analysis, excel, stakeholder communication"
Machine Learning Engineer,IT & AI,it_jobs.txt,37.63,4.08,60.0,6,4,Low Match,"fastapi, feature engineering, machine learning, model evaluation, scikit-learn, tensorflow","deep learning, docker, git, pytorch"
Legal Staff,Legal,non_it_jobs.txt,36.51,1.29,60.0,3,2,Low Match,"attention to detail, communication, documentation","administration, microsoft office"
Secretary,Administration,non_it_jobs.txt,30.73,1.83,50.0,3,3,Low Match,"attention to detail, communication, documentation","administration, microsoft office, organization"
Operations Analyst,Operations,non_it_jobs.txt,30.68,1.7,50.0,3,3,Low Match,"communication, forecasting, problem solving","excel, process improvement, reporting"
Software Engineer,IT & Software,it_jobs.txt,30.43,1.07,50.0,3,3,Low Match,"problem solving, python, sql","docker, git, javascript"
Administrative Officer,Administration,non_it_jobs.txt,26.23,1.29,42.86,3,4,Low Match,"attention to detail, communication, documentation","data entry, microsoft office, organization, scheduling"
Finance Analyst,Finance,non_it_jobs.txt,23.25,1.87,37.5,3,5,Low Match,"attention to detail, forecasting, power bi","budgeting, business understanding, excel, financial reporting, variance analysis"
Procurement Staff,Procurement,non_it_jobs.txt,23.15,1.63,37.5,3,5,Low Match,"attention to detail, communication, documentation","administration, excel, negotiation, reporting, vendor management"
Business Analyst,Business,non_it_jobs.txt,22.94,1.1,37.5,3,5,Low Match,"analytical thinking, documentation, problem solving","excel, process mapping, reporting, requirement gathering, stakeholder communication"
QA Engineer,IT & Software,it_jobs.txt,22.93,1.07,37.5,3,5,Low Match,"analytical thinking, documentation, sql","automation testing, bug tracking, postman, quality assurance, selenium"
Recruitment Specialist,Human Resources,non_it_jobs.txt,20.33,0.83,33.33,2,4,Low Match,"communication, documentation","hr administration, interview coordination, microsoft office, negotiation"
Customer Success Specialist,Customer Success,non_it_jobs.txt,20.33,0.83,33.33,2,4,Low Match,"communication, problem solving","customer support, onboarding, relationship management, reporting"
Project Coordinator,Project Management,non_it_jobs.txt,17.75,1.52,28.57,2,5,Low Match,"communication, documentation","microsoft office, organization, reporting, scheduling, task tracking"
Backend Developer,IT & Software,it_jobs.txt,17.59,3.06,27.27,3,8,Low Match,"express.js, laravel, sql","authentication, docker, git, javascript, mysql, node.js, postgresql, rest api"
Training and Development Officer,Human Resources,non_it_jobs.txt,17.47,0.83,28.57,2,5,Low Match,"communication, documentation","employee development, microsoft office, organization, presentation, training coordination"
